,"""Bestaetigte_Faelle"""
Arnsberg,3228
Bestwig,732
Brilon,923
Eslohe,339
Hallenberg,141
Marsberg,746
Medebach,259
Meschede,1538
Olsberg,512
Schmallenberg,1153
Sundern,1293
Winterberg,377
