,"""Bestaetigte_Faelle"""
Arnsberg,3719
Bestwig,787
Brilon,1126
Eslohe,393
Hallenberg,189
Marsberg,1046
Medebach,306
Meschede,1698
Olsberg,585
Schmallenberg,1245
Sundern,1469
Winterberg,464
