,"""Bestaetigte_Faelle"""
Arnsberg,2694
Bestwig,663
Brilon,797
Eslohe,303
Hallenberg,134
Marsberg,622
Medebach,244
Meschede,1314
Olsberg,440
Schmallenberg,1081
Sundern,1043
Winterberg,326
