,"""Bestaetigte_Faelle"""
Arnsberg,3309
Bestwig,736
Brilon,951
Eslohe,349
Hallenberg,143
Marsberg,762
Medebach,262
Meschede,1566
Olsberg,515
Schmallenberg,1165
Sundern,1321
Winterberg,384
