,"""Bestaetigte_Faelle"""
Arnsberg,3403
Bestwig,743
Brilon,978
Eslohe,359
Hallenberg,153
Marsberg,852
Medebach,267
Meschede,1591
Olsberg,528
Schmallenberg,1189
Sundern,1341
Winterberg,390
