,"""Bestaetigte_Faelle"""
Arnsberg,2782
Bestwig,665
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,635
Medebach,245
Meschede,1356
Olsberg,443
Schmallenberg,1095
Sundern,1068
Winterberg,327
