,"""Bestaetigte_Faelle"""
Arnsberg,4008
Bestwig,827
Brilon,1296
Eslohe,406
Hallenberg,205
Marsberg,1170
Medebach,319
Meschede,1771
Olsberg,663
Schmallenberg,1367
Sundern,1554
Winterberg,505
