,"""Bestaetigte_Faelle"""
Arnsberg,3352
Bestwig,739
Brilon,968
Eslohe,355
Hallenberg,152
Marsberg,806
Medebach,263
Meschede,1571
Olsberg,519
Schmallenberg,1181
Sundern,1328
Winterberg,388
