,"""Bestaetigte_Faelle"""
Arnsberg,2766
Bestwig,665
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,630
Medebach,244
Meschede,1347
Olsberg,443
Schmallenberg,1091
Sundern,1067
Winterberg,326
