,last7,last14,mix,Gemeinde
Arnsberg,3,6,3.0,Arnsberg
Bestwig,2,2,2.0,Bestwig
Brilon,6,8,6.0,Brilon
Eslohe (Sauerland),0,0,0.2,Eslohe (Sauerland)
Hallenberg,0,0,0.2,Hallenberg
Marsberg,2,6,2.0,Marsberg
Medebach,0,0,0.2,Medebach
Meschede,9,11,9.0,Meschede
Olsberg,0,0,0.2,Olsberg
Schmallenberg,3,4,3.0,Schmallenberg
Sundern (Sauerland),5,11,5.0,Sundern (Sauerland)
Winterberg,1,1,1.0,Winterberg
