,"""Bestaetigte_Faelle"""
Arnsberg,2767
Bestwig,665
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,631
Medebach,245
Meschede,1348
Olsberg,443
Schmallenberg,1091
Sundern,1067
Winterberg,326
