,"""Bestaetigte_Faelle"""
Arnsberg,3236
Bestwig,732
Brilon,926
Eslohe,340
Hallenberg,142
Marsberg,750
Medebach,259
Meschede,1541
Olsberg,513
Schmallenberg,1153
Sundern,1302
Winterberg,382
