,"""Bestaetigte_Faelle"""
Arnsberg,3147
Bestwig,726
Brilon,897
Eslohe,338
Hallenberg,141
Marsberg,721
Medebach,257
Meschede,1513
Olsberg,509
Schmallenberg,1150
Sundern,1256
Winterberg,361
