,"""Bestaetigte_Faelle"""
Arnsberg,8960
Bestwig,1703
Brilon,3607
Eslohe,1068
Hallenberg,485
Marsberg,2535
Medebach,1058
Meschede,4101
Olsberg,1852
Schmallenberg,3041
Sundern,3588
Winterberg,1971
