,"""Bestaetigte_Faelle"""
Arnsberg,4467
Bestwig,872
Brilon,1485
Eslohe,435
Hallenberg,218
Marsberg,1259
Medebach,354
Meschede,1908
Olsberg,759
Schmallenberg,1490
Sundern,1638
Winterberg,590
