,"""Bestaetigte_Faelle"""
Arnsberg,3935
Bestwig,812
Brilon,1244
Eslohe,400
Hallenberg,204
Marsberg,1146
Medebach,316
Meschede,1749
Olsberg,643
Schmallenberg,1334
Sundern,1526
Winterberg,494
