,"""Bestaetigte_Faelle"""
Arnsberg,3088
Bestwig,708
Brilon,878
Eslohe,338
Hallenberg,140
Marsberg,707
Medebach,256
Meschede,1506
Olsberg,496
Schmallenberg,1142
Sundern,1229
Winterberg,353
