,"""Bestaetigte_Faelle"""
Arnsberg,4523
Bestwig,890
Brilon,1518
Eslohe,438
Hallenberg,225
Marsberg,1265
Medebach,366
Meschede,1925
Olsberg,770
Schmallenberg,1496
Sundern,1656
Winterberg,608
