,"""Bestaetigte_Faelle"""
Arnsberg,3327
Bestwig,738
Brilon,957
Eslohe,353
Hallenberg,147
Marsberg,774
Medebach,262
Meschede,1569
Olsberg,515
Schmallenberg,1168
Sundern,1323
Winterberg,384
