,"""Bestaetigte_Faelle"""
Arnsberg,3188
Bestwig,731
Brilon,910
Eslohe,339
Hallenberg,141
Marsberg,735
Medebach,259
Meschede,1522
Olsberg,511
Schmallenberg,1151
Sundern,1277
Winterberg,364
