,"""Bestaetigte_Faelle"""
Arnsberg,3386
Bestwig,743
Brilon,976
Eslohe,358
Hallenberg,153
Marsberg,843
Medebach,264
Meschede,1587
Olsberg,527
Schmallenberg,1187
Sundern,1336
Winterberg,389
