,"""Bestaetigte_Faelle"""
Arnsberg,2932
Bestwig,680
Brilon,835
Eslohe,327
Hallenberg,138
Marsberg,653
Medebach,249
Meschede,1429
Olsberg,455
Schmallenberg,1125
Sundern,1134
Winterberg,336
