,"""Bestaetigte_Faelle"""
Arnsberg,3223
Bestwig,732
Brilon,920
Eslohe,339
Hallenberg,141
Marsberg,744
Medebach,259
Meschede,1535
Olsberg,512
Schmallenberg,1153
Sundern,1291
Winterberg,373
