,"""Bestaetigte_Faelle"""
Arnsberg,3199
Bestwig,731
Brilon,917
Eslohe,339
Hallenberg,141
Marsberg,740
Medebach,259
Meschede,1527
Olsberg,511
Schmallenberg,1152
Sundern,1280
Winterberg,366
