,"""Bestaetigte_Faelle"""
Arnsberg,4564
Bestwig,893
Brilon,1576
Eslohe,440
Hallenberg,226
Marsberg,1272
Medebach,368
Meschede,1955
Olsberg,776
Schmallenberg,1501
Sundern,1665
Winterberg,611
