,"""Bestaetigte_Faelle"""
Arnsberg,3643
Bestwig,774
Brilon,1100
Eslohe,389
Hallenberg,176
Marsberg,1000
Medebach,300
Meschede,1663
Olsberg,571
Schmallenberg,1236
Sundern,1440
Winterberg,443
