,"""Bestaetigte_Faelle"""
Arnsberg,3364
Bestwig,741
Brilon,971
Eslohe,355
Hallenberg,152
Marsberg,822
Medebach,263
Meschede,1574
Olsberg,522
Schmallenberg,1184
Sundern,1329
Winterberg,388
