,"""Bestaetigte_Faelle"""
Arnsberg,4959
Bestwig,952
Brilon,1754
Eslohe,470
Hallenberg,246
Marsberg,1344
Medebach,442
Meschede,2090
Olsberg,853
Schmallenberg,1585
Sundern,1813
Winterberg,742
