,"""Bestaetigte_Faelle"""
Arnsberg,3084
Bestwig,706
Brilon,876
Eslohe,337
Hallenberg,140
Marsberg,704
Medebach,256
Meschede,1504
Olsberg,493
Schmallenberg,1141
Sundern,1221
Winterberg,353
