,"""Bestaetigte_Faelle"""
Arnsberg,7257
Bestwig,1384
Brilon,2870
Eslohe,808
Hallenberg,354
Marsberg,2035
Medebach,785
Meschede,3021
Olsberg,1405
Schmallenberg,2397
Sundern,2609
Winterberg,1672
