,"""Bestaetigte_Faelle"""
Arnsberg,3014
Bestwig,695
Brilon,855
Eslohe,334
Hallenberg,140
Marsberg,681
Medebach,255
Meschede,1485
Olsberg,466
Schmallenberg,1139
Sundern,1188
Winterberg,345
