,"""Bestaetigte_Faelle"""
Arnsberg,4342
Bestwig,859
Brilon,1414
Eslohe,428
Hallenberg,213
Marsberg,1250
Medebach,348
Meschede,1872
Olsberg,737
Schmallenberg,1465
Sundern,1608
Winterberg,557
