,"""Bestaetigte_Faelle"""
Arnsberg,3132
Bestwig,723
Brilon,892
Eslohe,338
Hallenberg,140
Marsberg,719
Medebach,257
Meschede,1512
Olsberg,508
Schmallenberg,1146
Sundern,1243
Winterberg,359
