,"""Bestaetigte_Faelle"""
Arnsberg,3519
Bestwig,752
Brilon,1026
Eslohe,374
Hallenberg,157
Marsberg,913
Medebach,283
Meschede,1621
Olsberg,535
Schmallenberg,1213
Sundern,1373
Winterberg,406
