,"""Bestaetigte_Faelle"""
Arnsberg,3641
Bestwig,773
Brilon,1100
Eslohe,389
Hallenberg,171
Marsberg,990
Medebach,299
Meschede,1662
Olsberg,571
Schmallenberg,1236
Sundern,1437
Winterberg,438
