,"""Bestaetigte_Faelle"""
Arnsberg,2812
Bestwig,667
Brilon,811
Eslohe,310
Hallenberg,137
Marsberg,640
Medebach,245
Meschede,1394
Olsberg,451
Schmallenberg,1101
Sundern,1088
Winterberg,333
