,"""Bestaetigte_Faelle"""
Arnsberg,3881
Bestwig,804
Brilon,1218
Eslohe,398
Hallenberg,201
Marsberg,1131
Medebach,313
Meschede,1734
Olsberg,621
Schmallenberg,1317
Sundern,1505
Winterberg,487
