,"""Bestaetigte_Faelle"""
Arnsberg,3588
Bestwig,759
Brilon,1064
Eslohe,387
Hallenberg,166
Marsberg,947
Medebach,294
Meschede,1647
Olsberg,555
Schmallenberg,1228
Sundern,1411
Winterberg,424
