,"""Bestaetigte_Faelle"""
Arnsberg,3291
Bestwig,734
Brilon,946
Eslohe,347
Hallenberg,142
Marsberg,758
Medebach,262
Meschede,1566
Olsberg,514
Schmallenberg,1161
Sundern,1318
Winterberg,383
