,"""Bestaetigte_Faelle"""
Arnsberg,4227
Bestwig,854
Brilon,1368
Eslohe,421
Hallenberg,211
Marsberg,1227
Medebach,343
Meschede,1848
Olsberg,711
Schmallenberg,1437
Sundern,1598
Winterberg,543
