,"""Bestaetigte_Faelle"""
Arnsberg,2851
Bestwig,673
Brilon,819
Eslohe,325
Hallenberg,137
Marsberg,641
Medebach,245
Meschede,1416
Olsberg,453
Schmallenberg,1107
Sundern,1109
Winterberg,334
