,"""Bestaetigte_Faelle"""
Arnsberg,2785
Bestwig,665
Brilon,805
Eslohe,303
Hallenberg,136
Marsberg,637
Medebach,245
Meschede,1357
Olsberg,443
Schmallenberg,1097
Sundern,1075
Winterberg,327
