,"""Bestaetigte_Faelle"""
Arnsberg,4079
Bestwig,848
Brilon,1338
Eslohe,412
Hallenberg,207
Marsberg,1188
Medebach,332
Meschede,1804
Olsberg,691
Schmallenberg,1403
Sundern,1575
Winterberg,515
