,"""Bestaetigte_Faelle"""
Arnsberg,4372
Bestwig,864
Brilon,1438
Eslohe,429
Hallenberg,213
Marsberg,1256
Medebach,350
Meschede,1880
Olsberg,748
Schmallenberg,1475
Sundern,1615
Winterberg,564
