,"""Bestaetigte_Faelle"""
Arnsberg,3566
Bestwig,758
Brilon,1044
Eslohe,382
Hallenberg,162
Marsberg,944
Medebach,293
Meschede,1646
Olsberg,554
Schmallenberg,1226
Sundern,1402
Winterberg,421
