,"""Bestaetigte_Faelle"""
Arnsberg,2951
Bestwig,681
Brilon,840
Eslohe,327
Hallenberg,138
Marsberg,655
Medebach,249
Meschede,1465
Olsberg,456
Schmallenberg,1131
Sundern,1146
Winterberg,338
