,"""Bestaetigte_Faelle"""
Arnsberg,3818
Bestwig,798
Brilon,1186
Eslohe,395
Hallenberg,197
Marsberg,1086
Medebach,311
Meschede,1720
Olsberg,605
Schmallenberg,1278
Sundern,1488
Winterberg,476
