,"""Bestaetigte_Faelle"""
Arnsberg,3454
Bestwig,743
Brilon,1007
Eslohe,366
Hallenberg,155
Marsberg,884
Medebach,279
Meschede,1604
Olsberg,533
Schmallenberg,1204
Sundern,1357
Winterberg,401
