,"""Bestaetigte_Faelle"""
Arnsberg,7958
Bestwig,1526
Brilon,3100
Eslohe,921
Hallenberg,400
Marsberg,2256
Medebach,915
Meschede,3543
Olsberg,1599
Schmallenberg,2634
Sundern,2998
Winterberg,1774
