,"""Bestaetigte_Faelle"""
Arnsberg,2799
Bestwig,667
Brilon,811
Eslohe,304
Hallenberg,137
Marsberg,640
Medebach,245
Meschede,1385
Olsberg,449
Schmallenberg,1100
Sundern,1085
Winterberg,329
