,"""Bestaetigte_Faelle"""
Arnsberg,3368
Bestwig,742
Brilon,971
Eslohe,355
Hallenberg,153
Marsberg,825
Medebach,264
Meschede,1575
Olsberg,523
Schmallenberg,1184
Sundern,1330
Winterberg,388
