,"""Bestaetigte_Faelle"""
Arnsberg,2815
Bestwig,667
Brilon,812
Eslohe,317
Hallenberg,137
Marsberg,641
Medebach,245
Meschede,1399
Olsberg,451
Schmallenberg,1103
Sundern,1088
Winterberg,333
