,"""Bestaetigte_Faelle"""
Arnsberg,4675
Bestwig,900
Brilon,1624
Eslohe,445
Hallenberg,228
Marsberg,1283
Medebach,379
Meschede,1994
Olsberg,795
Schmallenberg,1512
Sundern,1686
Winterberg,640
