,"""Bestaetigte_Faelle"""
Arnsberg,2981
Bestwig,688
Brilon,844
Eslohe,329
Hallenberg,138
Marsberg,666
Medebach,254
Meschede,1472
Olsberg,462
Schmallenberg,1138
Sundern,1162
Winterberg,343
