,"""Bestaetigte_Faelle"""
Arnsberg,6079
Bestwig,1184
Brilon,2352
Eslohe,611
Hallenberg,304
Marsberg,1652
Medebach,566
Meschede,2482
Olsberg,1082
Schmallenberg,1929
Sundern,2169
Winterberg,1328
