,"""Bestaetigte_Faelle"""
Arnsberg,2788
Bestwig,667
Brilon,809
Eslohe,303
Hallenberg,136
Marsberg,639
Medebach,245
Meschede,1366
Olsberg,443
Schmallenberg,1098
Sundern,1079
Winterberg,328
