,"""Bestaetigte_Faelle"""
Arnsberg,3844
Bestwig,799
Brilon,1196
Eslohe,395
Hallenberg,197
Marsberg,1106
Medebach,311
Meschede,1725
Olsberg,611
Schmallenberg,1285
Sundern,1490
Winterberg,481
