,"""Bestaetigte_Faelle"""
Arnsberg,3027
Bestwig,696
Brilon,855
Eslohe,334
Hallenberg,140
Marsberg,689
Medebach,255
Meschede,1485
Olsberg,470
Schmallenberg,1140
Sundern,1191
Winterberg,346
