,"""Bestaetigte_Faelle"""
Arnsberg,2863
Bestwig,674
Brilon,820
Eslohe,326
Hallenberg,137
Marsberg,643
Medebach,245
Meschede,1421
Olsberg,453
Schmallenberg,1108
Sundern,1115
Winterberg,334
