,"""Bestaetigte_Faelle"""
Arnsberg,3198
Bestwig,731
Brilon,917
Eslohe,339
Hallenberg,141
Marsberg,740
Medebach,259
Meschede,1527
Olsberg,511
Schmallenberg,1151
Sundern,1280
Winterberg,364
