,"""Bestaetigte_Faelle"""
Arnsberg,2742
Bestwig,664
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,629
Medebach,244
Meschede,1319
Olsberg,442
Schmallenberg,1087
Sundern,1058
Winterberg,326
