,"""Bestaetigte_Faelle"""
Arnsberg,2724
Bestwig,664
Brilon,800
Eslohe,303
Hallenberg,136
Marsberg,628
Medebach,244
Meschede,1315
Olsberg,442
Schmallenberg,1083
Sundern,1052
Winterberg,326
