,"""Bestaetigte_Faelle"""
Arnsberg,3314
Bestwig,736
Brilon,951
Eslohe,349
Hallenberg,146
Marsberg,762
Medebach,262
Meschede,1567
Olsberg,515
Schmallenberg,1165
Sundern,1321
Winterberg,384
