,"""Bestaetigte_Faelle"""
Arnsberg,3333
Bestwig,739
Brilon,960
Eslohe,354
Hallenberg,149
Marsberg,781
Medebach,262
Meschede,1570
Olsberg,515
Schmallenberg,1171
Sundern,1325
Winterberg,384
